subscription_id,user_id,trial_started_at,paid_started_at,cancelled_at,monthly_price_usd,subscription_status
SUB0003573,U000040,,,,,never_subscribed
SUB0002236,U000041,,,,,never_subscribed
SUB0000674,U000042,,,,,never_subscribed
SUB0003998,U000043,,,,,never_subscribed
SUB0004942,U000044,2026-04-10 12:00:00,2026-04-17 12:00:00,,14.99,active
SUB0001190,U000045,,,,,never_subscribed
SUB0000592,U000046,2026-01-13 17:00:00,2026-01-20 17:00:00,,14.99,active
SUB0004312,U000047,2026-03-15 11:00:00,2026-03-22 11:00:00,,14.99,active
SUB0003221,U000048,,,,,never_subscribed
SUB0004063,U000049,,,,,never_subscribed
SUB0004443,U000050,2026-03-19 13:00:00,2026-03-26 13:00:00,,14.99,active
SUB0004757,U000051,,,,,never_subscribed
SUB0003912,U000052,,,,,never_subscribed
SUB0001478,U000053,,,,,never_subscribed
SUB0002319,U000054,,,,,never_subscribed
SUB0002536,U000055,,,,,never_subscribed
SUB0002518,U000056,,,,,never_subscribed
SUB0002159,U000057,,,,,never_subscribed
SUB0004630,U000058,2026-04-10 09:00:00,2026-04-17 09:00:00,2026-04-27 09:00:00,14.99,cancelled
SUB0001248,U000059,,,,,never_subscribed
SUB0003624,U000060,,,,,never_subscribed
SUB0003087,U000061,,,,,never_subscribed
SUB0001539,U000062,2026-02-27 10:00:00,2026-03-06 10:00:00,,14.99,active
SUB0004897,U000063,,,,,never_subscribed
SUB0002095,U000064,,,,,never_subscribed
SUB0001822,U000065,,,,,never_subscribed
SUB0003328,U000066,,,,,never_subscribed
SUB0000806,U000067,,,,,never_subscribed
SUB0000521,U000068,2026-02-02 09:00:00,2026-02-09 09:00:00,,14.99,active
SUB0003267,U000069,,,,,never_subscribed
SUB0000770,U000070,,,,,never_subscribed
SUB0004640,U000071,,,,,never_subscribed
SUB0004270,U000072,,,,,never_subscribed
SUB0000360,U000073,,,,,never_subscribed
SUB0002006,U000074,2026-02-19 11:00:00,2026-02-26 11:00:00,,14.99,active
SUB0003930,U000075,,,,,never_subscribed
SUB0001009,U000076,,,,,never_subscribed
SUB0000056,U000077,2026-01-21 16:00:00,2026-01-28 16:00:00,,14.99,active
SUB0002462,U000078,,,,,never_subscribed
SUB0000707,U000079,,,,,never_subscribed
SUB0002912,U000080,2026-03-01 09:00:00,2026-03-08 09:00:00,,14.99,active
SUB0000626,U000081,,,,,never_subscribed
SUB0001666,U000082,2026-02-06 22:00:00,2026-02-13 22:00:00,2026-03-16 22:00:00,14.99,cancelled
SUB0001618,U000083,,,,,never_subscribed
SUB0004067,U000084,,,,,never_subscribed
SUB0000279,U000085,,,,,never_subscribed
SUB0004816,U000086,,,,,never_subscribed
SUB0004313,U000087,,,,,never_subscribed
SUB0002547,U000088,2026-02-13 17:00:00,2026-02-20 17:00:00,,14.99,active
SUB0001268,U000089,,,,,never_subscribed
SUB0004092,U000090,,,,,never_subscribed
SUB0002758,U000091,,,,,never_subscribed
SUB0003208,U000092,,,,,never_subscribed
SUB0004500,U000093,,,,,never_subscribed
SUB0002050,U000094,,,,,never_subscribed
SUB0004779,U000095,,,,,never_subscribed
SUB0001825,U000096,,,,,never_subscribed
SUB0000606,U000097,,,,,never_subscribed
SUB0001286,U000098,,,,,never_subscribed
SUB0001597,U000099,,,,,never_subscribed
SUB0001300,U000100,,,,,never_subscribed
SUB0001701,U000101,,,,,never_subscribed
SUB0000472,U000102,,,,,never_subscribed
SUB0003980,U000103,,,,,never_subscribed
SUB0002448,U000104,,,,,never_subscribed
SUB0001748,U000105,,,,,never_subscribed
SUB0002127,U000106,,,,,never_subscribed
SUB0003231,U000107,,,,,never_subscribed
SUB0000255,U000108,,,,,never_subscribed
SUB0003963,U000109,,,,,never_subscribed
SUB0004514,U000110,,,,,never_subscribed
SUB0000221,U000111,,,,,never_subscribed
SUB0002096,U000112,,,,,never_subscribed
SUB0002227,U000113,,,,,never_subscribed
SUB0000972,U000114,,,,,never_subscribed
SUB0001362,U000115,,,,,never_subscribed
SUB0001632,U000116,,,,,never_subscribed
SUB0003410,U000117,,,,,never_subscribed
SUB0001755,U000118,,,,,never_subscribed
SUB0003872,U000119,,,,,never_subscribed
SUB0002970,U000120,,,,,never_subscribed
SUB0000373,U000121,,,,,never_subscribed
SUB0002032,U000122,,,,,never_subscribed
SUB0003903,U000123,,,,,never_subscribed
SUB0000037,U000124,,,,,never_subscribed
SUB0004112,U000125,2026-03-19 22:00:00,2026-03-26 22:00:00,,14.99,active
SUB0000078,U000126,,,,,never_subscribed
SUB0004220,U000127,,,,,never_subscribed
SUB0002437,U000128,,,,,never_subscribed
SUB0003198,U000129,,,,,never_subscribed
SUB0001340,U000130,,,,,never_subscribed
SUB0003029,U000131,,,,,never_subscribed
SUB0004797,U000132,,,,,never_subscribed
SUB0004117,U000133,,,,,never_subscribed
SUB0002078,U000134,2026-02-22 21:00:00,2026-03-01 21:00:00,,14.99,active
SUB0000072,U000135,,,,,never_subscribed
SUB0002645,U000136,2026-03-08 21:00:00,2026-03-15 21:00:00,,14.99,active
SUB0001972,U000137,,,,,never_subscribed
SUB0002664,U000138,,,,,never_subscribed
SUB0003486,U000139,,,,,never_subscribed
SUB0004599,U000140,,,,,never_subscribed
SUB0002151,U000141,,,,,never_subscribed
SUB0004715,U000142,,,,,never_subscribed
SUB0003090,U000143,,,,,never_subscribed
SUB0001760,U000144,,,,,never_subscribed
SUB0000174,U000145,,,,,never_subscribed
SUB0002899,U000146,,,,,never_subscribed
SUB0003701,U000147,,,,,never_subscribed
SUB0000680,U000148,,,,,never_subscribed
SUB0002610,U000149,,,,,never_subscribed
SUB0000608,U000150,,,,,never_subscribed
SUB0000834,U000151,,,,,never_subscribed
SUB0003303,U000152,,,,,never_subscribed
SUB0000536,U000153,,,,,never_subscribed
SUB0001591,U000154,,,,,never_subscribed
SUB0000866,U000155,,,,,never_subscribed
SUB0004431,U000156,2026-03-16 20:00:00,2026-03-23 20:00:00,,14.99,active
SUB0001865,U000157,2026-02-12 12:00:00,2026-02-19 12:00:00,2026-02-23 12:00:00,14.99,cancelled
SUB0001896,U000158,,,,,never_subscribed
SUB0003291,U000159,,,,,never_subscribed
SUB0003039,U000160,,,,,never_subscribed
SUB0000239,U000161,,,,,never_subscribed
SUB0000028,U000162,,,,,never_subscribed
SUB0004969,U000163,2026-04-21 14:00:00,2026-04-28 14:00:00,,14.99,active
SUB0003344,U000164,,,,,never_subscribed
SUB0002889,U000165,2026-02-16 14:00:00,2026-02-23 14:00:00,,14.99,active
SUB0002569,U000166,,,,,never_subscribed
SUB0002383,U000167,,,,,never_subscribed
SUB0000906,U000168,,,,,never_subscribed
SUB0000779,U000169,,,,,never_subscribed
SUB0001584,U000170,,,,,never_subscribed
SUB0001256,U000171,,,,,never_subscribed
SUB0002251,U000172,,,,,never_subscribed
SUB0004191,U000173,,,,,never_subscribed
SUB0001111,U000174,,,,,never_subscribed
SUB0004007,U000175,,,,,never_subscribed
SUB0003019,U000176,,,,,never_subscribed
SUB0001494,U000177,,,,,never_subscribed
SUB0001466,U000178,,,,,never_subscribed
SUB0003694,U000179,2026-04-03 19:00:00,2026-04-10 19:00:00,,14.99,active
SUB0003298,U000180,,,,,never_subscribed
SUB0000029,U000181,,,,,never_subscribed
SUB0004170,U000182,,,,,never_subscribed
SUB0001077,U000183,,,,,never_subscribed
SUB0000115,U000184,,,,,never_subscribed
SUB0002214,U000185,,,,,never_subscribed
SUB0004374,U000186,,,,,never_subscribed
SUB0002379,U000187,,,,,never_subscribed
SUB0004957,U000188,,,,,never_subscribed
SUB0004245,U000189,,,,,never_subscribed
SUB0004041,U000190,,,,,never_subscribed
SUB0004657,U000191,,,,,never_subscribed
SUB0001911,U000192,,,,,never_subscribed
SUB0004636,U000193,,,,,never_subscribed
SUB0000887,U000194,,,,,never_subscribed
SUB0000439,U000195,,,,,never_subscribed
SUB0000557,U000196,,,,,never_subscribed
SUB0001258,U000197,,,,,never_subscribed
SUB0001949,U000198,2026-02-03 08:00:00,2026-02-10 08:00:00,,14.99,active
SUB0003066,U000199,,,,,never_subscribed
SUB0000853,U000200,,,,,never_subscribed
SUB0003329,U000201,,,,,never_subscribed
SUB0002502,U000202,,,,,never_subscribed
SUB0000390,U000203,,,,,never_subscribed
SUB0000728,U000204,,,,,never_subscribed
SUB0001472,U000205,2026-02-26 14:00:00,2026-03-05 14:00:00,2026-04-04 14:00:00,14.99,cancelled
SUB0003943,U000206,,,,,never_subscribed
SUB0003196,U000207,,,,,never_subscribed
SUB0004371,U000208,,,,,never_subscribed
SUB0001641,U000209,2026-01-31 18:00:00,2026-02-07 18:00:00,,14.99,active
SUB0001246,U000210,,,,,never_subscribed
SUB0004445,U000211,,,,,never_subscribed
SUB0002278,U000212,,,,,never_subscribed
SUB0000491,U000213,2026-01-24 18:00:00,2026-01-31 18:00:00,,14.99,active
SUB0002427,U000214,,,,,never_subscribed
SUB0000508,U000215,,,,,never_subscribed
SUB0004507,U000216,,,,,never_subscribed
SUB0003143,U000217,,,,,never_subscribed
SUB0004714,U000218,2026-04-05 11:00:00,2026-04-12 11:00:00,,14.99,active
SUB0004450,U000219,,,,,never_subscribed
SUB0001346,U000220,,,,,never_subscribed
SUB0003003,U000221,,,,,never_subscribed
SUB0000803,U000222,,,,,never_subscribed
SUB0002672,U000223,,,,,never_subscribed
SUB0003896,U000224,,,,,never_subscribed
SUB0003322,U000225,,,,,never_subscribed
SUB0003700,U000226,2026-03-01 08:00:00,2026-03-08 08:00:00,,14.99,active
SUB0003297,U000227,,,,,never_subscribed
SUB0004646,U000228,,,,,never_subscribed
SUB0001106,U000229,,,,,never_subscribed
SUB0002393,U000230,2026-02-07 19:00:00,2026-02-14 19:00:00,2026-03-23 19:00:00,14.99,cancelled
SUB0002856,U000231,,,,,never_subscribed
SUB0004951,U000232,,,,,never_subscribed
SUB0004153,U000233,,,,,never_subscribed
SUB0000953,U000234,,,,,never_subscribed
SUB0000729,U000235,2026-02-08 08:00:00,2026-02-15 08:00:00,,14.99,active
SUB0001196,U000236,,,,,never_subscribed
SUB0002180,U000237,,,,,never_subscribed
SUB0003490,U000238,,,,,never_subscribed
SUB0003901,U000239,,,,,never_subscribed
SUB0003481,U000240,,,,,never_subscribed
SUB0002421,U000241,2026-03-04 08:00:00,2026-03-11 08:00:00,,14.99,active
SUB0001887,U000242,,,,,never_subscribed
SUB0002665,U000243,,,,,never_subscribed
SUB0004933,U000244,,,,,never_subscribed
SUB0001842,U000245,,,,,never_subscribed
SUB0004703,U000246,,,,,never_subscribed
SUB0002749,U000247,2026-03-16 16:00:00,2026-03-23 16:00:00,2026-04-24 16:00:00,14.99,cancelled
SUB0003580,U000248,,,,,never_subscribed
SUB0002733,U000249,2026-02-27 17:00:00,2026-03-06 17:00:00,,14.99,active
SUB0002130,U000250,,,,,never_subscribed
SUB0003337,U000251,,,,,never_subscribed
SUB0000190,U000252,,,,,never_subscribed
SUB0002051,U000253,2026-02-13 14:00:00,2026-02-20 14:00:00,,14.99,active
SUB0004901,U000254,,,,,never_subscribed
SUB0003229,U000255,,,,,never_subscribed
SUB0004637,U000256,,,,,never_subscribed
SUB0003628,U000257,,,,,never_subscribed
SUB0000600,U000258,,,,,never_subscribed
SUB0001576,U000259,,,,,never_subscribed
SUB0004588,U000260,,,,,never_subscribed
SUB0004485,U000261,,,,,never_subscribed
SUB0001754,U000262,,,,,never_subscribed
SUB0001968,U000263,,,,,never_subscribed
SUB0002574,U000264,,,,,never_subscribed
SUB0004720,U000265,,,,,never_subscribed
SUB0000402,U000266,,,,,never_subscribed
SUB0002206,U000267,,,,,never_subscribed
SUB0004653,U000268,,,,,never_subscribed
SUB0001273,U000269,,,,,never_subscribed
SUB0002581,U000270,,,,,never_subscribed
SUB0000942,U000271,,,,,never_subscribed
SUB0001184,U000272,,,,,never_subscribed
SUB0002721,U000273,,,,,never_subscribed
SUB0004750,U000274,,,,,never_subscribed
SUB0000465,U000275,,,,,never_subscribed
SUB0002181,U000276,,,,,never_subscribed
SUB0000511,U000277,,,,,never_subscribed
SUB0001461,U000278,,,,,never_subscribed
SUB0000228,U000279,2026-01-07 15:00:00,2026-01-14 15:00:00,,14.99,active
SUB0001102,U000280,,,,,never_subscribed
SUB0001978,U000281,,,,,never_subscribed
SUB0001224,U000282,,,,,never_subscribed
SUB0000753,U000283,2026-01-15 17:00:00,2026-01-22 17:00:00,,14.99,active
SUB0003506,U000284,,,,,never_subscribed
SUB0002469,U000285,,,,,never_subscribed
SUB0002056,U000286,,,,,never_subscribed
SUB0003674,U000287,2026-03-23 10:00:00,2026-03-30 10:00:00,,14.99,active
SUB0003332,U000288,,,,,never_subscribed
SUB0003989,U000289,,,,,never_subscribed
SUB0003749,U000290,,,,,never_subscribed
SUB0003158,U000291,,,,,never_subscribed
SUB0000479,U000292,,,,,never_subscribed
SUB0001128,U000293,,,,,never_subscribed
SUB0003299,U000294,,,,,never_subscribed
SUB0002600,U000295,2026-02-17 14:00:00,2026-02-24 14:00:00,,14.99,active
SUB0000208,U000296,,,,,never_subscribed
SUB0004197,U000297,,,,,never_subscribed
SUB0002030,U000298,,,,,never_subscribed
SUB0001008,U000299,,,,,never_subscribed
SUB0001855,U000300,,,,,never_subscribed
SUB0001871,U000301,,,,,never_subscribed
SUB0000699,U000302,2026-01-12 11:00:00,2026-01-19 11:00:00,,14.99,active
SUB0001092,U000303,,,,,never_subscribed
SUB0003132,U000304,,,,,never_subscribed
SUB0004163,U000305,,,,,never_subscribed
SUB0002511,U000306,,,,,never_subscribed
SUB0003466,U000307,,,,,never_subscribed
SUB0004062,U000308,,,,,never_subscribed
SUB0002081,U000309,,,,,never_subscribed
SUB0004891,U000310,,,,,never_subscribed
SUB0004293,U000311,,,,,never_subscribed
SUB0001974,U000312,,,,,never_subscribed
SUB0001134,U000313,,,,,never_subscribed
SUB0000324,U000314,,,,,never_subscribed
SUB0001053,U000315,,,,,never_subscribed
SUB0000598,U000316,,,,,never_subscribed
SUB0004302,U000317,,,,,never_subscribed
SUB0001157,U000318,,,,,never_subscribed
SUB0001672,U000319,,,,,never_subscribed
SUB0001228,U000320,,,,,never_subscribed
SUB0001677,U000321,,,,,never_subscribed
SUB0004133,U000322,,,,,never_subscribed
SUB0004216,U000323,,,,,never_subscribed
SUB0004587,U000324,,,,,never_subscribed
SUB0000839,U000325,,,,,never_subscribed
SUB0000169,U000326,,,,,never_subscribed
SUB0003641,U000327,,,,,never_subscribed
SUB0000407,U000328,,,,,never_subscribed
SUB0001624,U000329,,,,,never_subscribed
SUB0004121,U000330,,,,,never_subscribed
SUB0000627,U000331,,,,,never_subscribed
SUB0000832,U000332,,,,,never_subscribed
SUB0000140,U000333,,,,,never_subscribed
SUB0001315,U000334,,,,,never_subscribed
SUB0002189,U000335,,,,,never_subscribed
SUB0004928,U000336,,,,,never_subscribed
SUB0003186,U000337,,,,,never_subscribed
SUB0000231,U000338,2026-02-04 16:00:00,2026-02-11 16:00:00,,14.99,active
SUB0003620,U000339,,,,,never_subscribed
SUB0004339,U000340,,,,,never_subscribed
SUB0003105,U000341,,,,,never_subscribed
SUB0000139,U000342,,,,,never_subscribed
SUB0004120,U000343,,,,,never_subscribed
SUB0004511,U000344,,,,,never_subscribed
SUB0003471,U000345,2026-03-01 15:00:00,2026-03-08 15:00:00,,14.99,active
SUB0002926,U000346,,,,,never_subscribed
SUB0001568,U000347,,,,,never_subscribed
SUB0004291,U000348,,,,,never_subscribed
SUB0000498,U000349,,,,,never_subscribed
SUB0002684,U000350,,,,,never_subscribed
SUB0003062,U000351,,,,,never_subscribed
SUB0002776,U000352,2026-03-16 10:00:00,2026-03-23 10:00:00,,14.99,active
SUB0000588,U000353,2026-01-28 09:00:00,2026-02-04 09:00:00,2026-03-15 09:00:00,14.99,cancelled
SUB0001895,U000354,2026-02-16 13:00:00,2026-02-23 13:00:00,,14.99,active
SUB0003874,U000355,,,,,never_subscribed
SUB0000314,U000356,2026-01-27 10:00:00,2026-02-03 10:00:00,,14.99,active
SUB0001318,U000357,,,,,never_subscribed
SUB0000967,U000358,,,,,never_subscribed
SUB0001121,U000359,,,,,never_subscribed
SUB0000172,U000360,,,,,never_subscribed
SUB0000695,U000361,,,,,never_subscribed
SUB0001577,U000362,,,,,never_subscribed
SUB0004281,U000363,,,,,never_subscribed
SUB0002505,U000364,,,,,never_subscribed
SUB0003284,U000365,,,,,never_subscribed
SUB0000323,U000366,,,,,never_subscribed
SUB0001769,U000367,,,,,never_subscribed
SUB0001357,U000368,,,,,never_subscribed
SUB0002138,U000369,,,,,never_subscribed
SUB0003576,U000370,,,,,never_subscribed
SUB0001068,U000371,,,,,never_subscribed
SUB0001935,U000372,,,,,never_subscribed
SUB0004965,U000373,,,,,never_subscribed
SUB0001031,U000374,2026-02-18 22:00:00,2026-02-25 22:00:00,,14.99,active
SUB0003969,U000375,,,,,never_subscribed
SUB0000513,U000376,,,,,never_subscribed
SUB0000773,U000377,,,,,never_subscribed
SUB0004491,U000378,,,,,never_subscribed
SUB0001961,U000379,,,,,never_subscribed
SUB0003550,U000380,,,,,never_subscribed
SUB0003276,U000381,,,,,never_subscribed
SUB0002965,U000382,,,,,never_subscribed
SUB0002005,U000383,,,,,never_subscribed
SUB0004078,U000384,,,,,never_subscribed
SUB0002428,U000385,,,,,never_subscribed
SUB0004607,U000386,,,,,never_subscribed
SUB0000018,U000387,,,,,never_subscribed
SUB0001630,U000388,,,,,never_subscribed
SUB0004673,U000389,,,,,never_subscribed
SUB0001116,U000390,,,,,never_subscribed
SUB0004544,U000391,,,,,never_subscribed
SUB0003844,U000392,,,,,never_subscribed
SUB0003711,U000393,2026-03-14 18:00:00,2026-03-21 18:00:00,,14.99,active
SUB0004076,U000394,,,,,never_subscribed
SUB0003012,U000395,,,,,never_subscribed
SUB0001688,U000396,2026-02-26 18:00:00,2026-03-05 18:00:00,,14.99,active
SUB0000431,U000397,,,,,never_subscribed
SUB0003727,U000398,,,,,never_subscribed
SUB0003531,U000399,,,,,never_subscribed
SUB0000254,U000400,,,,,never_subscribed
SUB0004665,U000401,2026-03-16 12:00:00,2026-03-23 12:00:00,2026-04-05 12:00:00,14.99,cancelled
SUB0002846,U000402,,,,,never_subscribed
SUB0003428,U000403,,,,,never_subscribed
SUB0002543,U000404,,,,,never_subscribed
SUB0004239,U000405,,,,,never_subscribed
SUB0003842,U000406,,,,,never_subscribed
SUB0002993,U000407,,,,,never_subscribed
SUB0001627,U000408,2026-02-25 08:00:00,2026-03-04 08:00:00,,14.99,active
SUB0000896,U000409,,,,,never_subscribed
SUB0004976,U000410,,,,,never_subscribed
SUB0003040,U000411,,,,,never_subscribed
SUB0000985,U000412,,,,,never_subscribed
SUB0002507,U000413,,,,,never_subscribed
SUB0003239,U000414,,,,,never_subscribed
SUB0002212,U000415,2026-03-03 11:00:00,2026-03-10 11:00:00,,14.99,active
SUB0004572,U000416,,,,,never_subscribed
SUB0003295,U000417,2026-03-09 19:00:00,2026-03-16 19:00:00,,14.99,active
SUB0002849,U000418,,,,,never_subscribed
SUB0004667,U000419,,,,,never_subscribed
SUB0001799,U000420,2026-02-26 10:00:00,2026-03-05 10:00:00,,14.99,active
SUB0003754,U000421,2026-03-14 22:00:00,2026-03-21 22:00:00,,14.99,active
SUB0002991,U000422,,,,,never_subscribed
SUB0000547,U000423,,,,,never_subscribed
SUB0000697,U000424,,,,,never_subscribed
SUB0001108,U000425,,,,,never_subscribed
SUB0002353,U000426,,,,,never_subscribed
SUB0000871,U000427,,,,,never_subscribed
SUB0000759,U000428,,,,,never_subscribed
SUB0001797,U000429,,,,,never_subscribed
SUB0000540,U000430,,,,,never_subscribed
SUB0004101,U000431,,,,,never_subscribed
SUB0002031,U000432,,,,,never_subscribed
SUB0000283,U000433,,,,,never_subscribed
SUB0004917,U000434,,,,,never_subscribed
SUB0000329,U000435,,,,,never_subscribed
SUB0003110,U000436,,,,,never_subscribed
SUB0002117,U000437,2026-02-18 10:00:00,2026-02-25 10:00:00,,14.99,active
SUB0003673,U000438,,,,,never_subscribed
SUB0001212,U000439,,,,,never_subscribed
SUB0002034,U000440,,,,,never_subscribed
SUB0004378,U000441,,,,,never_subscribed
SUB0003160,U000442,,,,,never_subscribed
SUB0004479,U000443,,,,,never_subscribed
SUB0001014,U000444,2026-02-02 11:00:00,2026-02-09 11:00:00,2026-02-13 11:00:00,14.99,cancelled
SUB0003532,U000445,,,,,never_subscribed
SUB0003987,U000446,,,,,never_subscribed
SUB0001503,U000447,,,,,never_subscribed
SUB0004929,U000448,2026-04-22 13:00:00,2026-04-29 13:00:00,,14.99,active
SUB0003803,U000449,,,,,never_subscribed
SUB0002473,U000450,2026-02-09 11:00:00,2026-02-16 11:00:00,,14.99,active
SUB0003553,U000451,,,,,never_subscribed
SUB0004837,U000452,2026-04-12 09:00:00,2026-04-19 09:00:00,,14.99,active
SUB0004943,U000453,,,,,never_subscribed
SUB0003175,U000454,,,,,never_subscribed
SUB0000494,U000455,,,,,never_subscribed
SUB0003555,U000456,,,,,never_subscribed
SUB0004421,U000457,,,,,never_subscribed
SUB0003385,U000458,,,,,never_subscribed
SUB0001528,U000459,,,,,never_subscribed
SUB0004537,U000460,,,,,never_subscribed
SUB0004326,U000461,,,,,never_subscribed
SUB0001125,U000462,,,,,never_subscribed
SUB0003020,U000463,,,,,never_subscribed
SUB0003254,U000464,,,,,never_subscribed
SUB0002595,U000465,2026-03-14 20:00:00,2026-03-21 20:00:00,,14.99,active
SUB0003211,U000466,,,,,never_subscribed
SUB0003731,U000467,,,,,never_subscribed
SUB0000391,U000468,,,,,never_subscribed
SUB0000377,U000469,,,,,never_subscribed
SUB0001656,U000470,2026-02-11 19:00:00,2026-02-18 19:00:00,,14.99,active
SUB0004853,U000471,,,,,never_subscribed
SUB0003773,U000472,,,,,never_subscribed
SUB0002737,U000473,,,,,never_subscribed
SUB0002178,U000474,,,,,never_subscribed
SUB0001432,U000475,2026-02-22 14:00:00,2026-03-01 14:00:00,,14.99,active
SUB0003683,U000476,,,,,never_subscribed
SUB0001567,U000477,,,,,never_subscribed
SUB0001573,U000478,,,,,never_subscribed
SUB0004498,U000479,,,,,never_subscribed
SUB0002403,U000480,,,,,never_subscribed
SUB0003904,U000481,2026-03-21 19:00:00,2026-03-28 19:00:00,2026-04-05 19:00:00,14.99,cancelled
SUB0003462,U000482,,,,,never_subscribed
SUB0003520,U000483,,,,,never_subscribed
SUB0001523,U000484,,,,,never_subscribed
SUB0004758,U000485,2026-04-05 09:00:00,2026-04-12 09:00:00,,14.99,active
SUB0003797,U000486,,,,,never_subscribed
SUB0004893,U000487,,,,,never_subscribed
SUB0004644,U000488,2026-04-09 21:00:00,2026-04-16 21:00:00,,14.99,active
SUB0004241,U000489,,,,,never_subscribed
SUB0002963,U000490,,,,,never_subscribed
SUB0003705,U000491,2026-03-01 14:00:00,2026-03-08 14:00:00,,14.99,active
SUB0004480,U000492,2026-03-20 19:00:00,2026-03-27 19:00:00,2026-04-17 19:00:00,14.99,cancelled
SUB0000809,U000493,2026-01-26 17:00:00,2026-02-02 17:00:00,,14.99,active
SUB0001502,U000494,,,,,never_subscribed
SUB0001470,U000495,,,,,never_subscribed
SUB0003897,U000496,,,,,never_subscribed
SUB0000007,U000497,,,,,never_subscribed
SUB0000032,U000498,2026-01-25 09:00:00,2026-02-01 09:00:00,2026-03-06 09:00:00,14.99,cancelled
SUB0000595,U000499,2026-01-19 11:00:00,2026-01-26 11:00:00,,14.99,active
SUB0000872,U000500,,,,,never_subscribed
SUB0002875,U000501,,,,,never_subscribed
SUB0001282,U000502,,,,,never_subscribed
SUB0001522,U000503,,,,,never_subscribed
SUB0001680,U000504,,,,,never_subscribed
SUB0000348,U000505,,,,,never_subscribed
SUB0004623,U000506,,,,,never_subscribed
SUB0002442,U000507,,,,,never_subscribed
SUB0000070,U000508,,,,,never_subscribed
SUB0001517,U000509,,,,,never_subscribed
SUB0002262,U000510,,,,,never_subscribed
SUB0001173,U000511,,,,,never_subscribed
SUB0003893,U000512,2026-03-18 12:00:00,2026-03-25 12:00:00,,14.99,active
SUB0003926,U000513,2026-03-09 14:00:00,2026-03-16 14:00:00,,14.99,active
SUB0003558,U000514,,,,,never_subscribed
SUB0004355,U000515,2026-03-20 19:00:00,2026-03-27 19:00:00,,14.99,active
SUB0002341,U000516,,,,,never_subscribed
SUB0002882,U000517,,,,,never_subscribed
SUB0003406,U000518,,,,,never_subscribed
SUB0000294,U000519,2026-01-30 08:00:00,2026-02-06 08:00:00,,14.99,active
SUB0002441,U000520,,,,,never_subscribed
SUB0002565,U000521,,,,,never_subscribed
SUB0002374,U000522,,,,,never_subscribed
SUB0000429,U000523,2026-01-13 11:00:00,2026-01-20 11:00:00,,14.99,active
SUB0001695,U000524,,,,,never_subscribed
SUB0001363,U000525,,,,,never_subscribed
SUB0003136,U000526,,,,,never_subscribed
SUB0001021,U000527,,,,,never_subscribed
SUB0001942,U000528,,,,,never_subscribed
SUB0001051,U000529,,,,,never_subscribed
SUB0000476,U000530,,,,,never_subscribed
SUB0002597,U000531,,,,,never_subscribed
SUB0001345,U000532,,,,,never_subscribed
SUB0003061,U000533,2026-02-22 19:00:00,2026-03-01 19:00:00,2026-04-14 19:00:00,14.99,cancelled
SUB0004741,U000534,2026-04-16 18:00:00,2026-04-23 18:00:00,,14.99,active
SUB0004546,U000535,2026-03-28 14:00:00,2026-04-04 14:00:00,,14.99,active
SUB0001039,U000536,,,,,never_subscribed
SUB0001487,U000537,2026-02-21 15:00:00,2026-02-28 15:00:00,,14.99,active
SUB0003832,U000538,,,,,never_subscribed
