interaction_id,user_id,session_id,request_ts,intent,tool_used,model_name,input_tokens,output_tokens,latency_ms,response_status,resolved_by_agent,escalated_to_human,satisfaction_score
I00000467,U000708,S000263_02,2026-01-05 13:01:00,Quiz Generation,quiz_generator,navi-pro,212,573,3296,success,1,0,4.0
I00000362,U001593,S000204_02,2026-01-05 13:28:00,Summarization,none,navi-mini,434,239,1805,success,1,0,
I00000551,U001996,S000288_01,2026-01-05 15:09:00,General Q&A,web_search,navi-pro,233,440,3157,timeout,0,1,
I00000483,U002763,S000264_01,2026-01-05 16:13:00,Flashcards,flashcard_maker,navi-pro,144,991,7017,success,0,1,5.0
I00000545,U003800,S000287_01,2026-01-05 16:52:00,Quiz Generation,quiz_generator,navi-mini,254,461,3048,success,0,0,
I00000563,U002546,S000295_01,2026-01-05 16:53:00,Study Plan,calendar_planner,navi-mini,330,578,4395,success,1,0,4.0
I00000522,U000085,S000279_01,2026-01-05 16:54:00,Homework Help,none,navi-mini,337,183,1732,success,1,0,4.0
I00000132,U003291,S000106_01,2026-01-05 18:07:00,General Q&A,none,navi-mini,259,900,3492,success,1,0,5.0
I00000019,U004769,S000019_04,2026-01-05 19:19:00,Study Plan,calendar_planner,navi-pro,216,80,2188,success,1,0,
I00000004,U000959,S000003_05,2026-01-05 19:55:00,Flashcards,none,navi-mini,365,254,2152,success,1,0,
I00000044,U000498,S000032_03,2026-01-05 21:33:00,Quiz Generation,quiz_generator,navi-pro,200,1363,8866,success,1,0,4.0
I00000134,U003291,S000106_03,2026-01-06 07:14:00,Study Plan,calendar_planner,navi-mini,224,713,4244,success,1,0,
I00000124,U004998,S000097_01,2026-01-06 07:19:00,Quiz Generation,none,navi-mini,134,1046,3541,success,0,0,
I00000342,U003256,S000200_02,2026-01-06 07:37:00,Study Plan,calendar_planner,navi-mini,240,605,3935,success,1,0,
I00000045,U000498,S000032_04,2026-01-06 07:40:00,Study Plan,calendar_planner,navi-pro,266,2338,12399,error,0,1,
I00000460,U000671,S000258_02,2026-01-06 08:42:00,Homework Help,calculator,navi-mini,233,551,2738,success,1,0,5.0
I00000617,U001135,S000332_01,2026-01-06 09:35:00,Quiz Generation,quiz_generator,navi-mini,310,816,4628,success,1,0,3.0
I00000356,U000703,S000203_04,2026-01-06 09:59:00,Summarization,none,navi-mini,155,1024,3283,success,1,0,
I00000349,U002253,S000201_04,2026-01-06 10:00:00,Homework Help,calculator,navi-pro,486,188,4319,success,1,0,4.0
I00000354,U000703,S000203_02,2026-01-06 10:05:00,Study Plan,calendar_planner,navi-mini,341,389,3342,success,1,0,
I00000693,U002930,S000381_02,2026-01-06 11:42:00,Homework Help,none,navi-mini,259,556,2028,success,0,0,
I00000700,U004757,S000383_01,2026-01-06 11:49:00,Summarization,document_reader,navi-mini,338,356,2905,success,0,0,3.0
I00000107,U003454,S000088_03,2026-01-06 11:54:00,Homework Help,calculator,navi-mini,368,961,4984,error,0,1,
I00000622,U004838,S000335_01,2026-01-06 13:24:00,Study Plan,none,navi-mini,618,304,2066,success,0,0,
I00000120,U004414,S000094_01,2026-01-06 13:39:00,General Q&A,web_search,navi-mini,418,130,2735,success,1,0,
I00000317,U001654,S000187_02,2026-01-06 13:44:00,Summarization,document_reader,navi-pro,328,876,6485,timeout,0,1,
I00000493,U003371,S000266_01,2026-01-06 14:06:00,Summarization,document_reader,navi-mini,329,240,2640,success,1,0,
I00000133,U003291,S000106_02,2026-01-06 14:34:00,Flashcards,flashcard_maker,navi-mini,198,235,2271,success,0,0,
I00000459,U000671,S000258_01,2026-01-06 15:02:00,Homework Help,calculator,navi-mini,150,210,1807,success,1,0,4.0
I00000653,U001131,S000351_03,2026-01-06 15:18:00,Homework Help,calculator,navi-pro,165,563,3588,success,1,0,
I00000652,U001131,S000351_02,2026-01-06 15:33:00,Quiz Generation,none,navi-mini,400,111,1453,success,1,0,4.0
I00000398,U000653,S000223_01,2026-01-06 15:45:00,Homework Help,none,navi-mini,355,436,2759,success,1,0,4.0
I00000623,U004838,S000335_02,2026-01-06 15:57:00,Homework Help,none,navi-mini,162,515,2066,success,1,0,2.0
I00000141,U002043,S000107_02,2026-01-06 16:13:00,Quiz Generation,none,navi-mini,81,722,2445,success,1,0,
I00000183,U004094,S000127_05,2026-01-06 16:24:00,Homework Help,calculator,navi-mini,429,758,4541,success,1,0,
I00000464,U003957,S000259_01,2026-01-06 16:30:00,General Q&A,web_search,navi-mini,707,657,4369,success,1,0,
I00000348,U002253,S000201_03,2026-01-06 16:32:00,Flashcards,none,navi-mini,229,526,2792,success,1,0,
I00000077,U004487,S000057_02,2026-01-06 16:51:00,Homework Help,none,navi-mini,433,490,1988,success,0,1,
I00000355,U000703,S000203_03,2026-01-06 16:53:00,Flashcards,none,navi-mini,193,510,2371,success,1,0,4.0
I00000087,U000135,S000072_02,2026-01-06 17:06:00,Study Plan,calendar_planner,navi-pro,302,242,2884,success,1,0,4.0
I00000140,U002043,S000107_01,2026-01-06 17:15:00,Flashcards,none,navi-mini,387,528,2550,success,1,0,
I00000293,U004727,S000177_01,2026-01-06 17:29:00,Summarization,document_reader,navi-mini,375,691,4196,success,0,1,
I00000388,U003954,S000214_01,2026-01-06 17:29:00,Flashcards,none,navi-mini,180,332,1574,success,1,0,
I00000329,U004485,S000199_02,2026-01-06 17:46:00,Homework Help,none,navi-pro,192,415,2427,success,0,0,
I00000043,U004912,S000031_05,2026-01-06 18:01:00,Homework Help,calculator,navi-mini,518,238,2588,success,1,0,
I00000484,U002763,S000264_03,2026-01-06 18:45:00,Study Plan,calendar_planner,navi-mini,346,345,3173,success,1,0,5.0
I00000389,U003954,S000214_02,2026-01-06 18:54:00,Study Plan,calendar_planner,navi-mini,366,963,5951,success,1,0,4.0
I00000215,U004003,S000135_03,2026-01-06 19:38:00,Study Plan,calendar_planner,navi-mini,276,742,4544,success,1,0,5.0
I00000453,U001679,S000252_02,2026-01-06 19:55:00,Study Plan,none,navi-mini,203,372,1860,success,1,0,
I00000680,U002282,S000369_01,2026-01-06 20:00:00,Homework Help,calculator,navi-mini,271,382,2530,success,0,0,
I00000600,U000366,S000323_01,2026-01-06 20:25:00,Quiz Generation,none,navi-mini,215,204,1609,success,1,0,
I00000301,U004419,S000182_03,2026-01-06 20:43:00,General Q&A,none,navi-mini,273,295,1789,success,1,0,4.0
I00000628,U000665,S000340_01,2026-01-06 21:15:00,Homework Help,calculator,navi-mini,152,372,2538,success,1,0,
I00000074,U000077,S000056_02,2026-01-06 22:01:00,Flashcards,flashcard_maker,navi-mini,420,181,2175,success,0,0,
I00000685,U003932,S000378_01,2026-01-06 22:16:00,General Q&A,none,navi-mini,259,465,2059,success,1,0,
I00000486,U002763,S000264_05,2026-01-07 07:32:00,General Q&A,web_search,navi-mini,118,220,1622,success,1,0,4.0
I00000378,U000296,S000208_04,2026-01-07 07:36:00,Summarization,document_reader,navi-pro,267,594,5898,success,1,0,4.0
I00000445,U003176,S000247_01,2026-01-07 07:44:00,General Q&A,web_search,navi-pro,329,370,3964,success,0,0,
I00000279,U000326,S000169_02,2026-01-07 08:42:00,Flashcards,none,navi-mini,361,334,2085,success,1,0,
I00000397,U000111,S000221_03,2026-01-07 08:51:00,Summarization,document_reader,navi-mini,297,533,3778,success,1,0,4.0
I00000782,U003975,S000425_02,2026-01-07 08:53:00,Quiz Generation,,navi-mini,292,297,2604,success,1,0,
I00000330,U004485,S000199_03,2026-01-07 09:03:00,Homework Help,none,navi-mini,84,863,2890,success,1,0,
I00000170,U002149,S000123_02,2026-01-07 09:12:00,Homework Help,none,navi-mini,173,334,1952,success,1,0,5.0
I00000223,U002833,S000136_04,2026-01-07 10:11:00,Study Plan,none,navi-mini,233,342,1986,success,1,0,5.0
I00000746,U003667,S000405_01,2026-01-07 10:22:00,Quiz Generation,none,navi-mini,666,335,2937,success,0,1,
I00000250,U001067,S000146_03,2026-01-07 10:46:00,Summarization,none,navi-pro,287,399,2482,success,0,0,
I00000781,U003975,S000425_01,2026-01-07 11:20:00,Quiz Generation,quiz_generator,navi-pro,247,583,4098,success,0,0,4.0
I00000263,U002964,S000155_02,2026-01-07 11:21:00,Homework Help,calculator,navi-mini,500,590,4422,success,0,0,3.0
I00000649,U000689,S000350_02,2026-01-07 11:48:00,General Q&A,none,navi-pro,88,485,2714,success,1,0,3.0
I00000523,U000085,S000279_03,2026-01-07 11:51:00,Homework Help,calculator,navi-mini,294,340,2543,success,1,0,4.0
I00000026,U001934,S000020_06,2026-01-07 12:38:00,Homework Help,none,navi-mini,176,599,2247,success,0,0,
I00000686,U003932,S000378_02,2026-01-07 12:39:00,Quiz Generation,quiz_generator,navi-mini,204,755,4206,success,1,0,4.0
I00000607,U002397,S000327_01,2026-01-07 12:42:00,Flashcards,flashcard_maker,navi-mini,266,984,4246,success,1,0,4.0
I00000197,U001533,S000131_03,2026-01-07 13:02:00,Summarization,none,navi-mini,258,229,1275,success,0,1,5.0
I00000142,U002043,S000107_03,2026-01-07 13:29:00,Homework Help,calculator,navi-mini,181,456,2532,success,0,0,4.0
I00000701,U004757,S000383_02,2026-01-07 13:43:00,Quiz Generation,none,navi-mini,384,343,1883,success,1,0,
I00000066,U003806,S000051_03,2026-01-07 13:44:00,Homework Help,none,navi-mini,525,1202,4746,success,1,0,
I00000603,U000314,S000324_02,2026-01-07 13:57:00,Summarization,none,navi-mini,221,317,1957,success,1,0,
I00000485,U002763,S000264_04,2026-01-07 14:02:00,Homework Help,calculator,navi-mini,497,337,2918,success,1,0,3.0
I00000827,U003458,S000452_01,2026-01-07 14:41:00,Flashcards,flashcard_maker,navi-pro,139,1142,5733,success,0,0,4.0
I00000010,U001269,S000011_03,2026-01-07 14:59:00,Summarization,document_reader,navi-mini,404,190,1755,success,1,0,
I00000239,U001924,S000142_01,2026-01-07 15:11:00,Summarization,none,navi-mini,240,1020,3602,success,0,0,
I00000062,U004106,S000044_07,2026-01-07 15:23:00,Homework Help,none,navi-mini,395,383,2084,success,1,0,
I00000285,U002498,S000175_04,2026-01-07 15:31:00,Quiz Generation,none,navi-pro,552,353,3426,success,1,0,
I00000379,U000296,S000208_05,2026-01-07 16:29:00,Summarization,document_reader,navi-mini,100,277,2156,success,0,0,
I00000712,U001274,S000387_01,2026-01-07 16:50:00,Homework Help,calculator,navi-pro,105,685,6219,success,1,0,4.0
I00000171,U002149,S000123_03,2026-01-07 17:04:00,Homework Help,calculator,navi-mini,374,786,5714,success,0,0,
I00000670,U004256,S000368_01,2026-01-07 18:07:00,Summarization,none,navi-mini,218,211,1310,success,0,0,
I00000273,U003557,S000166_04,2026-01-07 18:17:00,Summarization,none,navi-mini,357,1014,3533,success,1,0,
I00000448,U004759,S000248_03,2026-01-07 18:55:00,Study Plan,none,navi-pro,568,932,4708,success,0,1,3.0
I00000296,U000575,S000179_02,2026-01-07 19:18:00,Flashcards,flashcard_maker,navi-pro,247,420,4379,success,1,0,4.0
I00000189,U004043,S000129_03,2026-01-07 19:38:00,Flashcards,none,navi-pro,527,603,3584,success,1,0,
I00000427,U002979,S000240_01,2026-01-07 19:50:00,Homework Help,none,navi-pro,195,305,2579,success,1,0,
I00000828,U003458,S000452_02,2026-01-07 19:56:00,General Q&A,none,navi-pro,499,538,3193,success,1,0,
I00000209,U003785,S000133_04,2026-01-07 20:10:00,Quiz Generation,quiz_generator,navi-pro,678,659,6810,success,1,0,5.0
I00000312,U004986,S000184_02,2026-01-07 20:16:00,Summarization,document_reader,navi-mini,385,286,2956,timeout,0,1,
I00000025,U001934,S000020_05,2026-01-07 21:07:00,General Q&A,none,navi-mini,204,334,1501,success,0,1,
I00000632,U003406,S000341_02,2026-01-07 21:13:00,Study Plan,calendar_planner,navi-mini,390,806,4463,success,1,0,
I00000615,U000776,S000331_01,2026-01-07 21:15:00,General Q&A,none,navi-pro,581,269,2642,success,0,1,3.0
I00000147,U004142,S000111_03,2026-01-07 22:33:00,Homework Help,calculator,navi-mini,142,413,2980,success,1,0,
I00000856,U002307,S000470_01,2026-01-08 07:08:00,Study Plan,calendar_planner,navi-mini,643,791,6870,success,0,0,
I00000921,U000571,S000496_02,2026-01-08 07:53:00,Study Plan,calendar_planner,navi-mini,397,406,3456,success,1,0,
I00000102,U004619,S000086_02,2026-01-08 08:34:00,Study Plan,calendar_planner,navi-mini,284,1125,4602,success,1,0,
I00000762,U000677,S000414_01,2026-01-08 08:46:00,Study Plan,calendar_planner,navi-mini,178,416,2491,success,1,0,4.0
I00000663,U000073,S000360_01,2026-01-08 08:48:00,Study Plan,none,navi-mini,337,232,2075,success,1,0,
I00000829,U003458,S000452_03,2026-01-08 09:24:00,Study Plan,calendar_planner,navi-mini,233,563,3289,success,0,1,5.0
I00000876,U000530,S000476_02,2026-01-08 09:33:00,Study Plan,none,navi-mini,343,688,2854,success,0,0,
I00000875,U000530,S000476_01,2026-01-08 10:04:00,Homework Help,calculator,navi-mini,164,349,2186,success,1,0,
I00000274,U003557,S000166_05,2026-01-08 10:46:00,Summarization,none,navi-mini,320,427,1996,success,0,1,
I00000469,U000708,S000263_06,2026-01-08 10:46:00,Homework Help,none,navi-mini,243,392,1555,success,1,0,
I00000372,U003300,S000206_01,2026-01-08 10:52:00,General Q&A,web_search,navi-mini,217,325,2509,success,1,0,
I00000198,U001533,S000131_04,2026-01-08 11:01:00,Quiz Generation,quiz_generator,navi-mini,312,296,1997,success,1,0,
I00000108,U003454,S000088_04,2026-01-08 11:09:00,Quiz Generation,none,navi-mini,232,347,1675,success,1,0,4.0
I00000560,U002485,S000292_03,2026-01-08 11:54:00,Study Plan,none,navi-mini,196,546,2692,success,1,0,
I00000020,U004769,S000019_05,2026-01-08 12:37:00,Study Plan,calendar_planner,navi-pro,164,351,3449,success,0,0,4.0
I00000286,U002498,S000175_05,2026-01-08 12:52:00,Homework Help,none,navi-mini,307,230,2011,success,1,0,
I00000664,U000073,S000360_02,2026-01-08 13:07:00,Homework Help,calculator,navi-mini,335,378,3624,success,1,0,
I00000931,U000349,S000498_01,2026-01-08 13:29:00,Study Plan,none,navi-pro,344,437,2987,success,1,0,4.0
I00000681,U002282,S000369_02,2026-01-08 13:34:00,Homework Help,calculator,navi-mini,137,501,3030,success,0,0,
I00000807,U002881,S000446_01,2026-01-08 13:52:00,General Q&A,web_search,navi-mini,379,482,3639,success,1,0,
I00000725,U000203,S000390_01,2026-01-08 13:54:00,Study Plan,none,navi-mini,153,754,2658,success,1,0,
I00000083,U003321,S000060_01,2026-01-08 14:04:00,Homework Help,calculator,navi-mini,322,316,2177,success,1,0,4.0
I00000747,U003667,S000405_02,2026-01-08 15:02:00,Homework Help,none,navi-pro,86,153,1610,success,0,1,2.0
I00000860,U002965,S000473_01,2026-01-08 15:13:00,General Q&A,web_search,navi-mini,196,718,3782,success,1,0,
I00000229,U002954,S000137_01,2026-01-08 15:16:00,General Q&A,web_search,navi-mini,315,222,2514,success,0,0,4.0
I00000159,U002088,S000122_02,2026-01-08 15:26:00,Study Plan,calendar_planner,navi-mini,101,396,2343,success,0,0,
I00000297,U000575,S000179_03,2026-01-08 15:34:00,Flashcards,none,navi-pro,328,306,2114,success,0,0,
I00000172,U002149,S000123_04,2026-01-08 15:54:00,Summarization,document_reader,navi-pro,317,910,7783,success,1,0,4.0
I00000713,U001274,S000387_03,2026-01-08 16:01:00,General Q&A,none,navi-mini,260,668,2976,success,1,0,
I00000766,U001157,S000418_01,2026-01-08 16:33:00,Quiz Generation,,navi-pro,232,256,2948,success,0,0,3.0
I00000125,U004998,S000097_04,2026-01-08 17:11:00,Study Plan,none,navi-mini,258,354,1681,success,0,0,
I00000468,U000708,S000263_05,2026-01-08 17:43:00,Study Plan,none,navi-mini,408,1108,3925,success,0,0,3.0
I00000904,U000037,S000490_01,2026-01-08 18:21:00,Study Plan,none,navi-pro,351,214,1953,success,0,0,
I00000331,U004485,S000199_04,2026-01-08 19:14:00,Homework Help,calculator,navi-mini,388,1261,6762,success,1,0,4.0
I00000819,U002269,S000450_01,2026-01-08 19:28:00,Homework Help,calculator,navi-mini,329,367,3217,success,1,0,
I00000694,U002930,S000381_03,2026-01-08 20:14:00,Quiz Generation,quiz_generator,navi-mini,399,232,2471,success,0,0,
I00000920,U000571,S000496_01,2026-01-08 20:14:00,Summarization,none,navi-mini,151,650,2180,success,1,0,5.0
I00000818,U001037,S000449_02,2026-01-08 21:08:00,Quiz Generation,quiz_generator,navi-mini,294,444,3451,success,0,0,3.0
I00000524,U000085,S000279_04,2026-01-08 21:15:00,Homework Help,none,navi-mini,172,955,3497,success,1,0,
I00000177,U004353,S000126_04,2026-01-08 21:40:00,Quiz Generation,quiz_generator,navi-pro,603,234,4477,success,1,0,
I00000702,U004757,S000383_03,2026-01-08 21:55:00,Homework Help,none,navi-mini,188,322,1465,success,1,0,
I00000390,U003954,S000214_03,2026-01-08 22:08:00,Homework Help,none,navi-pro,513,422,2832,success,1,0,4.0
I00000905,U000037,S000490_02,2026-01-08 22:15:00,Quiz Generation,none,navi-mini,457,1027,4147,success,1,0,
I00000915,U000213,S000491_01,2026-01-08 22:53:00,Summarization,document_reader,navi-mini,278,235,2319,success,1,0,
I00000650,U000689,S000350_04,2026-01-09 07:07:00,Study Plan,none,navi-mini,278,268,1727,success,0,0,5.0
I00000509,U004248,S000272_01,2026-01-09 07:23:00,Homework Help,calculator,navi-mini,238,794,4425,success,1,0,3.0
I00000536,U004955,S000286_01,2026-01-09 07:41:00,Flashcards,flashcard_maker,navi-pro,271,244,2788,success,1,0,
I00000438,U004503,S000243_03,2026-01-09 07:56:00,Homework Help,calculator,navi-mini,202,338,2152,timeout,0,1,
I00000494,U003371,S000266_04,2026-01-09 08:16:00,Summarization,document_reader,navi-pro,217,312,2802,success,1,0,
I00000127,U004682,S000102_05,2026-01-09 08:49:00,Homework Help,calculator,navi-mini,314,810,4981,success,1,0,
I00000933,U000349,S000498_03,2026-01-09 08:52:00,Quiz Generation,none,navi-pro,232,457,2447,success,1,0,
I00000150,U003564,S000114_03,2026-01-09 09:10:00,General Q&A,none,navi-mini,352,353,1936,success,1,0,5.0
I00000148,U004142,S000111_05,2026-01-09 09:20:00,Homework Help,calculator,navi-mini,247,769,3702,success,1,0,4.0
I00000808,U002881,S000446_02,2026-01-09 09:38:00,Homework Help,none,navi-mini,283,315,2267,success,1,0,
I00000449,U004759,S000248_04,2026-01-09 09:42:00,Homework Help,calculator,navi-mini,336,271,2188,success,0,0,
I00000392,U003954,S000214_05,2026-01-09 10:20:00,Study Plan,none,navi-mini,311,759,2771,success,1,0,
I00000918,U002809,S000492_01,2026-01-09 10:49:00,Flashcards,flashcard_maker,navi-mini,231,240,2675,error,0,1,
I00000495,U003371,S000266_05,2026-01-09 11:52:00,Homework Help,calculator,navi-mini,148,894,4656,success,1,0,
I00000556,U001764,S000290_02,2026-01-09 11:54:00,Flashcards,flashcard_maker,navi-mini,432,307,3016,success,1,0,4.0
I00000391,U003954,S000214_04,2026-01-09 12:17:00,Quiz Generation,none,navi-pro,542,1536,7105,success,0,1,2.0
I00000932,U000349,S000498_02,2026-01-09 12:19:00,Summarization,document_reader,navi-mini,270,239,2675,success,1,0,
I00000618,U004780,S000333_01,2026-01-09 12:26:00,General Q&A,web_search,navi-mini,141,406,2237,success,1,0,5.0
I00000236,U000333,S000140_02,2026-01-09 12:34:00,Study Plan,none,navi-mini,482,757,3071,success,1,0,
I00000683,U000121,S000373_01,2026-01-09 16:47:00,Homework Help,none,navi-mini,189,356,1592,success,1,0,3.0
I00000516,U003228,S000277_01,2026-01-09 16:54:00,Study Plan,calendar_planner,navi-mini,355,522,4067,success,1,0,
I00000636,U003612,S000343_02,2026-01-09 17:05:00,Summarization,document_reader,navi-pro,257,184,2307,success,1,0,4.0
I00000976,U001342,S000530_01,2026-01-09 17:08:00,Homework Help,none,navi-mini,341,150,1633,success,1,0,
I00000384,U000932,S000211_01,2026-01-09 17:21:00,Homework Help,none,navi-mini,636,184,2098,success,1,0,
I00000280,U000326,S000169_03,2026-01-09 19:06:00,Quiz Generation,none,navi-mini,738,359,2420,success,1,0,
I00000230,U002954,S000137_02,2026-01-09 19:20:00,Homework Help,calculator,navi-mini,303,102,1425,success,0,0,4.0
I00000417,U002477,S000236_04,2026-01-09 19:25:00,Homework Help,calculator,navi-mini,169,289,2639,success,1,0,
I00000993,U001737,S000535_01,2026-01-09 19:33:00,Flashcards,none,navi-mini,200,225,1288,success,1,0,
I00000665,U000073,S000360_03,2026-01-09 19:45:00,General Q&A,none,navi-mini,119,264,1701,success,1,0,3.0
